Lipid,Genotype and condition,FA,mean,sd,se
PEPI,125BLTCOLD,16:02,0,0,0
PEPI,CB27COLD,16:02,0.053141341,0.106282681,0.053141341
PEPI,CB27CONT,16:02,0,0,0
PEPI,CB27LTCOLD,16:02,0,0,0
PEPI,125BCOLD,16:03,0,0,0
PEPI,125BCONT,16:03,0.219356511,0.027440452,0.015842753
PEPI,125BLTCOLD,16:03,0,0,0
PEPI,CB27COLD,16:03,0.246514703,0.03963379,0.019816895
PEPI,CB27CONT,16:03,0,0,0
PEPI,CB27LTCOLD,16:03,0.030645696,0.06852586,0.030645696
PEPI,125BCOLD,18:00,2.542892759,0.183005245,0.105658127
PEPI,125BCONT,18:00,3.141173032,0.255622385,0.147583653
PEPI,125BLTCOLD,18:00,2.023561796,0.400148486,0.178951843
PEPI,CB27COLD,18:00,2.221561358,0.437734593,0.218867297
PEPI,CB27CONT,18:00,2.338371664,0.387486863,0.223715645
PEPI,CB27LTCOLD,18:00,1.816658436,0.457741108,0.204708047
PEPI,125BCOLD,18:02,32.23629189,1.821405152,1.051588755
PEPI,125BCONT,18:02,24.46388242,0.372647443,0.215148101
PEPI,125BLTCOLD,18:02,30.54563233,2.303875829,1.030324593
PEPI,CB27COLD,18:02,30.11172025,2.036671352,1.018335676
PEPI,CB27CONT,18:02,31.52957706,2.242793459,1.294877407
PEPI,CB27LTCOLD,18:02,33.37263328,3.219312437,1.43972029
PEPI,125BCOLD,18:03,30.488423,3.776656474,2.180453632
PEPI,125BCONT,18:03,33.40285117,2.885384646,1.665877602
PEPI,125BLTCOLD,18:03,29.59490979,2.828628617,1.265001174
PEPI,CB27COLD,18:03,36.25897377,2.896104261,1.448052131
PEPI,CB27CONT,18:03,34.22144596,0.948518122,0.547627193
PEPI,CB27LTCOLD,18:03,29.12405305,2.088108074,0.933830319
PEPI,125BCOLD,16:1 d3 & d11,0,0,0
PEPI,125BCONT,16:1 d3 & d11,0.426746111,0.03641188,0.021022408
PEPI,125BLTCOLD,16:1 d3 & d11,0,0,0
PEPI,CB27COLD,16:1 d3 & d11,0,0,0
PEPI,CB27CONT,16:1 d3 & d11,0,0,0
PEPI,CB27LTCOLD,16:1 d3 & d11,0,0,0
PEPI,125BCOLD,16:1 d7 (& d9),0.163439207,0.283085011,0.163439207
PEPI,125BCONT,16:1 d7 (& d9),0.436973278,0.149073585,0.086067675
PEPI,125BLTCOLD,16:1 d7 (& d9),0,0,0
PEPI,CB27COLD,16:1 d7 (& d9),0,0,0
PEPI,CB27CONT,16:1 d7 (& d9),0,0,0
PEPI,CB27LTCOLD,16:1 d7 (& d9),0,0,0
PEPI,125BCOLD,18:1 d9,1.832319718,0.227574332,0.131390102
PEPI,125BCONT,18:1 d9,1.96900258,0.291924957,0.168542952
PEPI,125BLTCOLD,18:1 d9,2.134765132,0.429329566,0.192002019
PEPI,CB27COLD,18:1 d9,1.622854037,0.154598045,0.077299022
PEPI,CB27CONT,18:1 d9,1.625571093,0.115883923,0.066905614
PEPI,CB27LTCOLD,18:1 d9,2.79608983,0.555501431,0.248427792
PG,125BCOLD,16:00,39.10563351,0.126633198,0.073111711
PG,125BCONT,16:00,35.1580025,1.892757982,1.092784331
PG,125BLTCOLD,16:00,32.04504463,3.514495767,1.242561895
PG,CB27COLD,16:00,35.93725696,2.131818887,1.065909444
PG,CB27CONT,16:00,35.98193453,0.920678907,0.531554215
PG,CB27LTCOLD,16:00,30.69510047,3.858633402,1.57528049
PG,125BCOLD,16:02,0,0,0
PG,125BCONT,16:02,0.301304034,0.336067003,0.194028375
PG,125BLTCOLD,16:02,0.093966326,0.174116446,0.06155946
PG,CB27COLD,16:02,0,0,0
PG,CB27CONT,16:02,0,0,0
PG,CB27LTCOLD,16:02,0,0,0
PG,125BCOLD,16:03,0.126342527,0.115988542,0.066966016
PG,125BCONT,16:03,0,0,0
PG,125BLTCOLD,16:03,0,0,0
PG,CB27COLD,16:03,0,0,0
PG,CB27CONT,16:03,0,0,0
PG,CB27LTCOLD,16:03,0,0,0
PG,125BCOLD,18:00,3.712744599,0.239049439,0.138015258
PG,125BCONT,18:00,4.930734883,0.879781383,0.507942018
PG,125BLTCOLD,18:00,2.919158449,0.486405114,0.171970177
PG,CB27COLD,18:00,3.545665347,0.309028547,0.154514274
PG,CB27CONT,18:00,3.736099018,0.44936341,0.259440085
PG,CB27LTCOLD,18:00,2.207816507,0.559596945,0.228454496
PG,125BCOLD,18:02,3.749438831,0.581946132,0.335986756
PG,125BCONT,18:02,2.713430536,0.569561567,0.328836524
PG,125BLTCOLD,18:02,2.959576551,0.617163906,0.218200391
PG,CB27COLD,18:02,4.262383204,0.356121622,0.178060811
PG,CB27CONT,18:02,2.990041008,0.154127003,0.088985267
PG,CB27LTCOLD,18:02,3.73665232,0.66672169,0.27218799
PG,125BCOLD,18:03,20.2806773,1.759230451,1.015692174
PG,125BCONT,18:03,27.56676474,1.6814536,0.970787688
PG,125BLTCOLD,18:03,25.07836215,5.126487319,1.812486973
PG,CB27COLD,18:03,22.18770522,0.812601916,0.406300958
PG,CB27CONT,18:03,19.08995805,1.045224042,0.603460382
PG,CB27LTCOLD,18:03,29.52017491,4.501790706,1.83784836
PG,125BCOLD,16:1 d3 & d11,30.81124612,1.179376945,0.680913597
PG,125BCONT,16:1 d3 & d11,28.04868437,0.357703273,0.206520081
PG,125BLTCOLD,16:1 d3 & d11,35.63511196,1.959117279,0.692652557
PG,CB27COLD,16:1 d3 & d11,32.74562434,2.345876666,1.172938333
PG,CB27CONT,16:1 d3 & d11,36.99816257,0.486534801,0.280900998
PG,CB27LTCOLD,16:1 d3 & d11,32.33789836,2.663923522,1.087542224
PG,125BCOLD,16:1 d7 (& d9),0.535638616,0.657730735,0.379741017
PG,125BCONT,16:1 d7 (& d9),0.092573592,0.160342165,0.092573592
PG,125BLTCOLD,16:1 d7 (& d9),0,0,0
PG,CB27COLD,16:1 d7 (& d9),0,0,0
PG,CB27CONT,16:1 d7 (& d9),0,0,0
PG,CB27LTCOLD,16:1 d7 (& d9),0,0,0
PG,125BCOLD,18:1 d9,1.6782785,0.340813049,0.196768505
PG,125BCONT,18:1 d9,1.188505339,0.084704232,0.048904011
PG,125BLTCOLD,18:1 d9,1.268779937,0.314665048,0.111250895
PG,CB27COLD,18:1 d9,1.321364934,0.10013147,0.050065735
PG,CB27CONT,18:1 d9,1.203804823,0.164685458,0.095081194
PG,CB27LTCOLD,18:1 d9,1.502357441,0.334584566,0.136593577
SQDG,125BCOLD,16:00,40.60065839,8.15597378,4.708853657
SQDG,125BCONT,16:00,32.71147734,2.914260501,1.682549085
SQDG,125BLTCOLD,16:00,36.42115911,3.829627347,1.353977733
